date,tag_tank,lifestage,tube_ID,conditioning_treatment,acute_treatment,number_animals,animal_ID,preservation_method,time,initials,page,20240314.qPCR,20240508.qPCR,notes,notebook_link,hardcopy_link
20240228,pink,adult,148,control,ambient,1,5,DNA 70% ethanol,14:38,ash,16,,,,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page16.jpeg
20240228,pink,adult,159,control,ambient,1,7,DNA 70% ethanol,14:42,ash,16,,,,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page16.jpeg
20240228,pink,adult,179,control,ambient,1,4,DNA 70% ethanol,14:36,ash,16,,,,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page16.jpeg
20240228,pink,adult,180,control,ambient,1,6,DNA 70% ethanol,14:40,ash,16,,,,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page16.jpeg
20240228,pink,adult,312,control,ambient,1,3,DNA 70% ethanol,14:34,ash,15,,,"lots of mantle, not much gill ",https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page15.jpeg
20240228,pink,adult,330,control,ambient,1,1,DNA 70% ethanol,14:30,ash,15,,,,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page15.jpeg
20240228,pink,adult,377,control,ambient,1,2,DNA 70% ethanol,14:32,ash,15,,,"lots of mantle, not much gill ",https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page15.jpeg
20240228,pink,adult,379,control,ambient,1,8,DNA 70% ethanol,14:44,ash,16,,,,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page16.jpeg
20240228,pink,adult,250,control,ambient,1,8,RNA later 750 uL,14:44,ash,16,,,,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page16.jpeg
20240228,pink,adult,258,control,ambient,1,5,RNA later 750 uL,14:38,ash,16,,,,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Lifestage-Carryover-Project-Sampling/,https://github.com/RobertsLab/project-gigas-carryover/blob/main/lifestage_carryover/data/sampling_metadata/notebook_images/page16.jpeg
