life-stage,tag,init-t-group,sec-t-group,label,length (mm) (11/21),,,,num,mantle?,notes,weight of sample before cutting,weight after cutting,rna-date,qbit concentration (ng/µL),qbit-date,RT?,qPCR?
adult,dog,control,treament,411-11,60,4,1,1,11,,,,,,,,,
adult,dog,control,treament,411-11m,60,4,1,1,11,m,,,,,,,,
adult,dog,control,treament,411-12,59,4,1,1,12,,,,,,,,,
adult,dog,control,treament,411-12m,59,4,1,1,12,m,,,,,,,,
adult,dog,control,treament,411-13,66,4,1,1,13,,,,,,,,,
adult,dog,control,treament,411-13m,66,4,1,1,13,m,,,,,,,,
adult,dog,control,treament,411-14,59,4,1,1,14,,,,,,,,,
adult,dog,control,treament,411-14m,59,4,1,1,14,m,,,,,,,,
adult,dog,control,treament,411-15,59,4,1,1,15,,,,,,,,,
adult,dog,control,treament,411-15m,59,4,1,1,15,m,,,,,,,,
adult,dog,treatment,control,412-01,66,4,1,2,1,,,,,,,,,
adult,dog,treatment,control,412-01m,66,4,1,2,1,m,,,,,,,,
adult,dog,treatment,control,412-02,53,4,1,2,2,,,,,,,,,
adult,dog,treatment,control,412-02m,53,4,1,2,2,m,,,,,,,,
adult,dog,treatment,control,412-03,57,4,1,2,3,,,,,,,,,
adult,dog,treatment,control,412-03m,57,4,1,2,3,m,,,,,,,,
adult,dog,treatment,control,412-04,42,4,1,2,4,,,,,,,,,
adult,dog,treatment,control,412-04m,42,4,1,2,4,m,,,,,,,,
adult,dog,treatment,control,412-05,57,4,1,2,5,,,,,,,,,
adult,dog,treatment,control,412-05m,57,4,1,2,5,m,,,,,,,,
adult,dog,treatment,control,412-06,49,4,1,2,6,,,,,,,,,
adult,dog,treatment,control,412-07,60,4,1,2,7,,,,,,,,,
adult,dog,treatment,control,412-07m,60,4,1,2,7,m,,,,,,,,
adult,dog,treatment,treament,412-08,61,4,1,2,8,,,,,,,,,
adult,dog,treatment,treament,412-08m,61,4,1,2,8,m,,,,,,,,
adult,dog,treatment,treament,412-09,57,4,1,2,9,,,,,,,,,
adult,dog,treatment,treament,412-09m,57,4,1,2,9,m,,,,,,,,
adult,dog,treatment,treament,412-10,62,4,1,2,10,,,,,,,,,
adult,dog,treatment,treament,412-10m,62,4,1,2,10,m,,,,,,,,
adult,dog,treatment,treament,412-11,74,4,1,2,11,,,,,,,,,
adult,dog,treatment,treament,412-11m,74,4,1,2,11,m,,,,,,,,
adult,dog,treatment,treament,412-12,40,4,1,2,12,,,,,,,,,
adult,dog,treatment,treament,412-12m,40,4,1,2,12,m,,,,,,,,
adult,dog,treatment,treament,412-13,40,4,1,2,13,,,,,,,,,
adult,dog,treatment,treament,412-13m,40,4,1,2,13,m,,,,,,,,
adult,dog,treatment,treament,412-14,59,4,1,2,14,,,,,,,,,
adult,dog,treatment,treament,412-14m,59,4,1,2,14,m,,,,,,,,
adult,dog,treatment,treament,412-15,50,4,1,2,15,,,,,,,,,
adult,dog,treatment,treament,412-15m,50,4,1,2,15,m,,,,,,,,
adult,toad,control,control,421-01,70,4,2,1,1,,,,,,,,,
adult,toad,control,control,421-01m,70,4,2,1,1,m,,,,,,,,
adult,toad,control,control,421-02,71,4,2,1,2,,,,,,,,,
adult,toad,control,control,421-02m,71,4,2,1,2,m,,,,,,,,
adult,toad,control,control,421-03,53,4,2,1,3,,,,,,,,,
adult,toad,control,control,421-03m,53,4,2,1,3,m,,,,,,,,
adult,toad,control,control,421-04,58,4,2,1,4,,,,,,,,,
adult,toad,control,control,421-04m,58,4,2,1,4,m,,,,,,,,
adult,toad,control,control,421-05,61,4,2,1,5,,,,,,,,,
adult,toad,control,control,421-06,35,4,2,1,6,,,,,,,,,
adult,toad,control,control,421-06m,35,4,2,1,6,m,,,,,,,,
adult,toad,control,control,421-07,47,4,2,1,7,,,,,,,,,
adult,toad,control,control,421-07m,47,4,2,1,7,m,,,,,,,,
adult,toad,control,treament,421-08,59,4,2,1,8,,,,,,,,,
adult,toad,control,treament,421-08m,59,4,2,1,8,m,,,,,,,,
adult,toad,control,treament,421-09,50,4,2,1,9,,,,,,,,,
adult,toad,control,treament,421-09m,50,4,2,1,9,m,,,,,,,,
adult,toad,control,treament,421-10,59,4,2,1,10,,,,,,,,,
adult,toad,control,treament,421-10m,59,4,2,1,10,m,,,,,,,,
adult,toad,control,treament,421-11,62,4,2,1,11,,,,,,,,,
adult,toad,control,treament,421-11m,62,4,2,1,11,m,,,,,,,,
adult,toad,control,treament,421-12,47,4,2,1,12,,,,,,,,,
adult,toad,control,treament,421-12m,47,4,2,1,12,m,,,,,,,,
adult,toad,control,treament,421-13,68,4,2,1,13,,,,,,,,,
adult,toad,control,treament,421-14,52,4,2,1,14,,,,,,,,,
adult,toad,control,treament,421-14m,52,4,2,1,14,m,,,,,,,,
adult,toad,control,treament,421-15,61,4,2,1,15,,,,,,,,,
adult,toad,control,treament,421-15m,61,4,2,1,15,m,,,,,,,,
adult,toad,treatment,control,422-01,59,4,2,2,1,,,,,,,,,
adult,toad,treatment,control,422-01m,59,4,2,2,1,m,,,,,,,,
adult,toad,treatment,control,422-02,62,4,2,2,2,,,,,,,,,
adult,toad,treatment,control,422-02m,62,4,2,2,2,m,,,,,,,,
adult,toad,treatment,control,422-03,60,4,2,2,3,,,,,,,,,
adult,toad,treatment,control,422-03m,60,4,2,2,3,m,,,,,,,,
adult,toad,treatment,control,422-04,57,4,2,2,4,,,,,,,,,
adult,toad,treatment,control,422-04m,57,4,2,2,4,m,,,,,,,,
adult,toad,treatment,control,422-05,70,4,2,2,5,,,,,,,,,
adult,toad,treatment,control,422-05m,70,4,2,2,5,m,,,,,,,,
adult,toad,treatment,control,422-06,54,4,2,2,6,,,,,,,,,
adult,toad,treatment,control,422-06m,54,4,2,2,6,m,,,,,,,,
adult,toad,treatment,control,422-07,47,4,2,2,7,,,,,,,,,
adult,toad,treatment,control,422-07m,47,4,2,2,7,m,,,,,,,,
adult,toad,treatment,treament,422-08,56,4,2,2,8,,,,,,,,,
adult,toad,treatment,treament,422-08m,56,4,2,2,8,m,,,,,,,,
adult,toad,treatment,treament,422-09,53,4,2,2,9,,,,,,,,,
adult,toad,treatment,treament,422-09m,53,4,2,2,9,m,,,,,,,,
