tube_ID,tag_tank,lifestage,conditioning_treatment,acute_treatment,preservation_method,freezer,notes,rna-concentration(ng/uL),rna-iso.date,rna-iso.initials,rna-iso.notebook,rna-quant.date,rna-quant.initials,rna-quant.notebook
1,left-juvenile,juvenile,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
6,left-spat,spat,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
9,left-spat,spat,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
11,right-spat ,spat,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
12,right-juvenile,juvenile,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
13*,left-spat,spat,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",Tube 13 label WITH astericks; note there is another tube labeled 13 without astericks (adult sample),,,,,,,
14,left-seed,seed,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
15,left-seed,seed,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
18,right-juvenile,juvenile,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
19,left-seed,seed,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
24,left-seed,seed,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
25,left-spat,spat,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
27,right-spat ,spat,control,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
28,left-juvenile,juvenile,treated,high,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
29,right-seed,seed,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
30,right-spat ,spat,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
34,left-juvenile,juvenile,treated,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
36,right-spat ,spat,control,ambient,Snap frozen ,"middle -80C; top shelf; ""LCO phys AH""",,,,,,,,
